scheme,scheme_id,run,crypto_operation_cost_ms,security_wrapper_cost_ms
Falcon-padded-512,Falcon-padded-512,7,23.587639947654527,26.894442586150394
Falcon-padded-512,Falcon-padded-512,8,23.299703559605252,26.688441233321154
Falcon-padded-512,Falcon-padded-512,9,23.71294502401709,27.07694258928895
Falcon-padded-512,Falcon-padded-512,10,23.539162700374767,26.897228517336515
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,1,766.5888021381882,769.5811671061284
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,2,769.7954239381942,772.7637633058474
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,3,763.5086808737832,766.4269517882104
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,4,767.784968871468,770.7529454053533
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,5,767.6940835395361,770.6464823153023
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,6,771.1893570380439,774.2060875974129
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,7,772.0368494733701,775.0777682254555
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,8,767.6880095204492,770.6688001305639
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,9,763.9594546065199,766.8988511137042
SLH-DSA-SHA2-128s,SLH_DSA_PURE_SHA2_128S,10,767.6194678487566,770.4963574830131
